Date,Open,High,Low,Close,Adj Close,Volume
2010-11-04,161.000000,163.000000,160.300003,161.199997,149.704941,835546
2010-11-08,162.500000,163.449997,160.199997,161.399994,149.890656,613082
2010-11-09,162.500000,165.000000,161.350006,162.250000,150.680038,601933
2010-11-10,162.500000,162.899994,159.550003,159.899994,148.497620,423032
2010-11-11,161.050003,161.649994,154.000000,155.399994,144.318527,1955709
2010-11-12,156.699997,158.850006,151.000000,151.850006,141.021683,1124521
2010-11-15,152.600006,153.449997,150.050003,151.550003,140.743057,606454
2010-11-16,152.949997,155.500000,147.149994,148.449997,137.864136,1473835
2010-11-18,150.000000,153.449997,147.000000,147.750000,137.214005,1823233
2010-11-19,148.550003,151.000000,144.000000,145.300003,134.938766,1042105
2010-11-22,145.399994,147.399994,140.699997,146.050003,135.635239,860599
2010-11-23,145.000000,147.000000,142.050003,145.350006,134.985138,977715
2010-11-24,147.699997,148.000000,142.300003,144.899994,134.567276,477765
2010-11-25,143.000000,145.250000,137.600006,139.050003,129.134430,874260
2010-11-26,139.949997,148.600006,114.000000,141.300003,131.223953,5075222
2010-11-29,141.000000,145.600006,133.550003,143.500000,133.267090,1118461
2010-11-30,143.500000,153.899994,139.149994,152.399994,141.532425,2214284
2010-12-01,150.250000,154.899994,150.199997,153.649994,142.693298,639181
2010-12-02,155.000000,155.899994,148.550003,150.350006,139.628616,520492
2010-12-03,150.000000,151.500000,144.399994,147.050003,136.563934,529009
2010-12-06,148.899994,149.750000,146.000000,147.000000,136.517517,268880
2010-12-07,148.100006,148.100006,144.600006,145.699997,135.310196,198780
2010-12-08,145.000000,145.949997,140.050003,141.500000,131.409729,387102
2010-12-09,142.100006,144.100006,136.550003,137.750000,127.927116,781461
2010-12-10,137.649994,149.699997,133.100006,146.600006,136.146027,1827567
2010-12-13,147.899994,149.699997,144.300003,148.250000,137.678375,362511
2010-12-14,151.000000,154.350006,148.949997,151.449997,140.650223,661078
2010-12-15,151.449997,151.899994,147.000000,148.300003,137.724808,385342
2010-12-16,149.899994,150.350006,146.600006,148.050003,137.492645,284245
2010-12-20,141.000000,145.449997,135.100006,144.300003,134.010071,1097483
2010-12-21,146.949997,150.500000,143.649994,149.699997,139.024963,638065
2010-12-22,150.500000,152.399994,148.500000,149.949997,139.257156,1484744
2010-12-23,150.000000,151.350006,143.250000,145.300003,134.938766,460088
2010-12-24,144.649994,145.399994,143.149994,143.750000,133.499283,546725
2010-12-27,145.000000,146.899994,143.100006,143.649994,133.406387,478728
2010-12-28,148.000000,148.000000,140.399994,140.850006,130.806046,941747
2010-12-29,142.000000,142.649994,140.300003,141.350006,131.270401,651864
2010-12-30,142.000000,142.850006,140.050003,141.699997,131.595428,665419
2010-12-31,142.449997,145.350006,142.000000,144.050003,133.777893,680716
2011-01-03,145.550003,146.399994,143.050003,145.050003,134.706573,487210
2011-01-04,146.949997,150.500000,144.550003,148.550003,137.957016,812777
2011-01-05,150.100006,158.800003,149.300003,157.600006,146.361603,3254352
2011-01-06,158.300003,160.000000,154.000000,154.949997,143.900589,1874274
2011-01-07,155.000000,155.300003,146.100006,147.250000,136.749664,781973
2011-01-10,147.300003,148.300003,139.250000,140.399994,130.388153,625006
2011-01-11,141.050003,142.750000,136.000000,139.050003,129.134430,1121192
2011-01-12,140.399994,140.850006,136.500000,139.750000,129.784485,1045506
2011-01-13,140.600006,143.699997,139.600006,141.399994,131.316833,797536
2011-01-14,141.000000,142.500000,138.000000,139.199997,129.273727,598460
2011-01-17,141.000000,141.000000,135.350006,137.100006,127.323509,397997
2011-01-18,137.500000,140.550003,137.500000,139.850006,129.877380,370616
2011-01-19,140.050003,142.000000,138.600006,139.800003,129.830933,379533
2011-01-20,139.000000,142.000000,137.649994,139.399994,129.459457,266418
2011-01-21,138.850006,141.350006,138.000000,140.000000,130.016647,271388
2011-01-24,140.399994,144.500000,139.750000,142.250000,132.106186,657683
2011-01-25,143.949997,144.550003,139.800003,140.149994,130.155960,378857
2011-01-27,141.449997,141.500000,138.000000,138.149994,128.298615,1363893
2011-01-28,137.800003,140.850006,134.550003,139.500000,129.552338,774349
2011-01-31,138.000000,141.000000,135.550003,140.550003,130.527451,690663
2011-02-01,140.050003,142.449997,137.800003,139.449997,129.505890,2105194
